weighted F1,Neutral,Open,Pistol,Thumb,OK,Grab,comb
0.9181095549501149,0.9335819156373806,0.9113779302458548,0.9069037656903766,0.9262926292629263,0.8359166221272047,0.9019390581717451,8_9
0.8991950943581787,0.922624301265078,0.8258064516129032,0.8706395348837209,0.9041487839771102,0.8495034377387318,0.8827785817655571,8_12
0.9120964622492609,0.9335274138767589,0.904881101376721,0.8467692307692307,0.9299287410926366,0.8493150684931506,0.8607442977190877,8_16
0.9099232423248714,0.9381399317406144,0.9039615846338536,0.8525641025641025,0.895040369088812,0.7781269641734758,0.8968395945140131,8_17
0.9142916132077629,0.9340010464160251,0.926829268292683,0.9091897770527461,0.8457899716177862,0.8628987129266927,0.8866418307610431,8_22
0.9087292254468006,0.9272865853658536,0.8732394366197183,0.8942361499720202,0.9041406693136699,0.8466042154566745,0.8958566629339306,8_28
0.9095811764437055,0.9306433805078792,0.8649468892261002,0.9006802721088435,0.8941524796447077,0.8575418994413407,0.8838235294117647,9_12
0.9211678464139311,0.9422792303897385,0.8840315725561627,0.8716177317213587,0.9217081850533808,0.880184331797235,0.8820960698689956,9_16
0.9091014805691567,0.9357584576209531,0.9080188679245284,0.8289855072463768,0.8928150765606596,0.8195008705745792,0.8870192307692307,9_17
0.9142151864383731,0.9379226502545399,0.9295466957946478,0.8988999476165531,0.8371873525247758,0.8440181726400807,0.8934746235359732,9_22
0.9143586309893147,0.9334370139968896,0.8753959873284055,0.9035040431266846,0.9034090909090909,0.8471708090957165,0.9092996555683123,9_28
0.8956080359074006,0.9260159777700591,0.8374892519346517,0.778534923339012,0.8760469011725294,0.855,0.8848979591836734,12_16
0.8968408529279981,0.9302536231884058,0.8344988344988346,0.8587412587412587,0.843183609141056,0.7792869269949066,0.8941548183254344,12_17
0.9063864743615625,0.9284548160952655,0.8707782672540382,0.903954802259887,0.8039457459926017,0.8859840232389252,0.9106901217861976,12_22
0.8959146071612163,0.9203557312252965,0.8111498257839721,0.8662704309063893,0.8673390224980605,0.8690292758089369,0.8962536023054755,12_28
0.9086280754609666,0.9398756951259405,0.8876043673731535,0.8224188790560472,0.87875,0.8080267558528428,0.867704280155642,16_17
0.9225171235584015,0.9446884435904475,0.9218106995884774,0.8755211435378202,0.8464687819856704,0.8771726535341831,0.9149425287356322,16_22
0.9106032830173039,0.9348989091919683,0.8647707486941382,0.8388301182327318,0.8999378495960224,0.8674846625766871,0.8912237330037083,16_28
0.9095346153426219,0.9385208552400981,0.9116647791619479,0.8693790149892934,0.8125310790651418,0.8237367802585194,0.8987485779294653,17_22
0.9038601181371037,0.9328758310100793,0.8695652173913043,0.8482871125611745,0.8528708133971292,0.8185758513931889,0.9011384062312762,17_28
0.9101835053862598,0.9297215951843492,0.8741044012282497,0.9014859658778206,0.823069403714565,0.8982035928143712,0.915938864628821,22_28
0.9125759493132705,0.9310219859869534,0.8757505773672055,0.8981481481481481,0.9047824213700991,0.8545700135074291,0.9010118785745711,8_9_12
0.9210220015651254,0.938820591625048,0.9025270758122743,0.8810975609756098,0.9271472392638037,0.8650137741046832,0.894695170229612,8_9_16
0.9171677366987422,0.9397731145625395,0.9103121295930462,0.8844397611520899,0.9097195543603535,0.8153117600631413,0.89453125,8_9_17
0.9163520319114138,0.9357103176607242,0.9219858156028369,0.9053440447083478,0.867974725640173,0.8491253644314869,0.9006622516556292,8_9_22
0.917648756425603,0.9351667939903234,0.8875739644970414,0.9045189504373178,0.9143290371493555,0.8558490566037736,0.9037372593431483,8_9_28
0.9035504151875094,0.9276323058225611,0.8642714570858283,0.8292448292448292,0.8962962962962963,0.846078431372549,0.8978622327790974,8_12_16
0.9021663525147017,0.9302615193026152,0.8670520231213873,0.8469690546841883,0.8807829181494662,0.8023833167825224,0.8978823529411765,8_12_17
0.9085322147621798,0.9310608286805759,0.8841435711040436,0.8804867448935245,0.8530659467797918,0.8577797592510031,0.9087012430347192,8_12_22
0.9025791874567293,0.9250372134563858,0.8455284552845529,0.867790594498669,0.8877828054298642,0.852504638218924,0.9033112582781457,8_12_28
0.909569810899288,0.9374461329099569,0.8939899833055092,0.8359953252824308,0.8956201391731478,0.8138936535162951,0.8792029887920298,8_16_17
0.915736091156535,0.937989954466507,0.912667191188041,0.8688845401174168,0.875747976064766,0.8582615505090054,0.8932562620423892,8_16_22
0.910311870459728,0.9322251246734742,0.879416282642089,0.8532368315239244,0.9097444089456869,0.8547146904087414,0.8889786031489705,8_16_28
0.9102854537258019,0.9378104700038211,0.9130763416477702,0.8703108252947481,0.8483804272915231,0.8119521912350598,0.8971098265895954,8_17_22
0.9058460619954903,0.9330305373018941,0.8830584707646177,0.8546511627906976,0.886372510737993,0.8037844508432743,0.8954983922829582,8_17_28
0.9121980280695762,0.9315041057480473,0.8888094386843046,0.9034635224760501,0.8634029441971928,0.8665906499429875,0.9025009061254078,8_22_28
0.9076069327107263,0.9308084486525856,0.8668582375478927,0.8608176389526871,0.8914395026303205,0.83888635326335,0.9022051773729626,9_12_16
0.913380495065408,0.9375932086727085,0.8760563380281691,0.8768916155419223,0.8856088560885609,0.8327868852459016,0.9095940959409594,9_12_17
0.9113807185390479,0.9345526268603191,0.9002197802197802,0.8993288590604027,0.8423137876386688,0.852796052631579,0.8987993138936535,9_12_22
0.9135194815359778,0.9325057249608292,0.8693771626297578,0.9015544041450777,0.8833792470156107,0.8692579505300353,0.9117911791179117,9_12_28
0.9125451934444663,0.9384749896461276,0.886970817920263,0.8475084301236419,0.9062119366626066,0.8261045804620997,0.8831061544816192,9_16_17
0.9188579919319538,0.9420227716640465,0.9154228855721394,0.8732824427480916,0.8741209563994374,0.8593406593406593,0.8955108359133127,9_16_22
0.9121793494887441,0.9336115694457925,0.8652271034996277,0.8799386267740699,0.9102462271644162,0.8381094157052474,0.9050683829444891,9_16_28
0.9119556524734035,0.9383495145631068,0.9144811858608894,0.8720054757015743,0.8417068134893324,0.8304959289415248,0.8995799923634975,9_17_22
0.9115825643085735,0.9375796178343949,0.8896396396396397,0.8581411600279525,0.8885387948011028,0.8251640293323041,0.9000793021411578,9_17_28
0.9078395020394484,0.9309624496866561,0.8910891089108911,0.8959147424511545,0.8428810720268006,0.8411083830235005,0.905223880597015,9_22_28
0.9042647002514652,0.934739061676331,0.851085310449268,0.8213283442469598,0.8826429980276134,0.8299531981279251,0.8790882061446977,12_16_17
0.9090875629765099,0.9325965641755115,0.8858490566037736,0.8688754083061129,0.8122344944774851,0.8905449464368886,0.9060523938572719,12_16_22
0.9008177231620481,0.9266781030380167,0.8453038674033149,0.8383349467570184,0.8601503759398497,0.8653846153846154,0.8971153846153846,12_16_28
0.9021289485664575,0.931133187405287,0.8849315068493151,0.8741438356164384,0.7996820349761526,0.8335677449601501,0.8930150309460654,12_17_22
0.9058675152374215,0.9328809725756291,0.8566275924256087,0.863102998696219,0.8771593090211133,0.8219715546836684,0.9030444964871195,12_17_28
0.9052307839595443,0.9279385705847608,0.8667776852622814,0.8828988068935042,0.836038961038961,0.8759964570416298,0.9048228766538625,12_22_28
0.9076987703172708,0.9382883493828835,0.9066455696202531,0.8349056603773585,0.8195652173913044,0.841091492776886,0.8834990059642147,16_17_22
0.9061975470779666,0.9351051242377355,0.8720605819051415,0.8268551236749117,0.8673383711167086,0.8420604512558536,0.8856548856548857,16_17_28
0.9151276416525683,0.9370926608104279,0.8882331243083733,0.8778386844166014,0.8527075812274368,0.8851823118696664,0.9041521148622429,16_22_28
0.9079648704457158,0.9363640723157339,0.8900293255131965,0.8588106530463334,0.8325598000714031,0.839677047289504,0.9021986353297953,17_22_28
0.9127795236832476,0.9333442181313523,0.8807969769838544,0.866796621182586,0.9050611974859412,0.8617127624125291,0.8962516733601071,8_9_12_16
0.9068029748187211,0.9308951555796227,0.8882925192888292,0.8477559401584043,0.8981035036965606,0.8167574931880109,0.9037328094302554,8_9_12_17
0.9102414910799952,0.9316264931283983,0.8956857694784288,0.8950044869877356,0.8577142857142858,0.8521903561298456,0.9002175940317065,8_9_12_22
0.9108300426306931,0.9302805103311997,0.8665165648118366,0.8906009244992296,0.8981302385557705,0.8530559167750326,0.9104429356611704,8_9_12_28
0.9127985884082044,0.9371142383522026,0.8957763597690671,0.8515842134519177,0.9040284360189573,0.8291333743085433,0.8918918918918919,8_9_16_17
0.9182464132950523,0.9381752484191509,0.9104172745841844,0.8969594594594594,0.8751642575558476,0.8602645198389879,0.8992203291943401,8_9_16_22
0.9191078099797779,0.9389268576414134,0.8925861062463515,0.8921848260125499,0.9148061104582844,0.846517119244392,0.9022511848341233,8_9_16_28
0.9124147620706213,0.9380110981308412,0.9097701149425287,0.8776902887139107,0.8668941979522184,0.8254247217340364,0.8909247065559691,8_9_17_22
0.9120282303414572,0.9347167860571597,0.8932261768082663,0.8670002633658151,0.906929544795593,0.824638962569997,0.9003234342840342,8_9_17_28
0.9168175208993294,0.9353094634957844,0.9116098642283181,0.9046718876586551,0.8669083376488866,0.8619922092376182,0.9088374686367438,8_9_22_28
0.9080567537485423,0.9342666093145114,0.8795774647887324,0.8404464871963231,0.8946482665769101,0.8257877580586744,0.8901213171577123,8_12_16_17
0.9093475912691246,0.9320683719626917,0.8915254237288136,0.8687068114511353,0.854185692541857,0.8606831882116543,0.9007583250906693,8_12_16_22
0.902639768006855,0.9271341586354288,0.8640646029609691,0.8450800136193395,0.8800548320767649,0.8471315699072484,0.8943972835314091,8_12_16_28
0.904705120243777,0.9307695434773772,0.8918293086338075,0.8667282240689443,0.8457682099675612,0.824209452567154,0.8986640599543826,8_12_17_22
0.9040916037443844,0.9299535762704901,0.8572374958595561,0.8636222429325877,0.8901279107904231,0.8186889818688982,0.8974530831099196,8_12_17_28
0.9047376090953299,0.9277128830201455,0.8681145734970097,0.8843365899779388,0.8524685947998831,0.8534906588003933,0.9039057656540608,8_12_22_28
0.9068157870350706,0.9347033707085084,0.9039615846338536,0.8491329479768787,0.8434573187048434,0.8284059737884791,0.8877642155403394,8_16_17_22
0.9074657259450108,0.9341719077568135,0.8745942755975213,0.8434299092771437,0.9004250151791136,0.824332712600869,0.8840222085132634,8_16_17_28
0.9141962774283527,0.9357127499462481,0.8938103350369109,0.8807232429279673,0.8745558895873189,0.8582241630276565,0.9029437481783736,8_16_22_28
0.9072315532605548,0.9328385359819544,0.8849315068493151,0.8749317312943746,0.8633557046979866,0.823045267489712,0.8984081041968162,8_17_22_28
0.9086137883430649,0.9344139157936351,0.8701657458563536,0.8384470882905448,0.893908281998631,0.8379418970948548,0.8966942148760331,9_12_16_17
0.9081338869462939,0.9337908760597498,0.8922470433639947,0.8437810945273632,0.8432835820895522,0.863405336721728,0.9059550927432476,9_12_16_22
0.9068385813794395,0.9295947605403193,0.8607677293428757,0.8640423420443268,0.8770126755738267,0.8552803129074316,0.9074324324324324,9_12_16_28
0.9119220697351282,0.9379395434916719,0.8885288399222294,0.881771924573481,0.8454164170161773,0.8502446982055465,0.8977236293683873,9_12_17_22
0.9104389974143204,0.9347681014347681,0.8675857646681628,0.8813974869751762,0.8850921273031825,0.829189538262835,0.9069920844327177,9_12_17_28
0.9053601725738192,0.9283449044313019,0.8725845410628019,0.886286594761171,0.8460620525059666,0.8587257617728532,0.9018250471994965,9_12_22_28
0.9114493955184961,0.9370905248326876,0.9078638497652582,0.8561965222191554,0.8572972972972973,0.8361320208453966,0.896551724137931,9_16_17_22
0.9102123461863494,0.9354473386183465,0.8704723268617792,0.85250569476082,0.8986119493059747,0.8370436331255565,0.8937080024434942,9_16_17_28
0.914705801088775,0.9368688703232837,0.8861945439515018,0.8924032759107596,0.8648354636932282,0.8655297735532569,0.8988304093567251,9_16_22_28
0.9135416364841062,0.9400982476721167,0.900330396475771,0.8608742004264393,0.8578431372549019,0.8452213137862983,0.9057576625608708,9_17_22_28
0.9061235613163181,0.9356379879588269,0.8788401794960303,0.8509944571242256,0.8247099404201944,0.8403132448076268,0.8979048885932823,12_16_17_22
0.9028352925738574,0.9320639398213446,0.8486468426328099,0.8362905925677938,0.8730496453900709,0.8283687943262411,0.8940123881624226,12_16_17_28
0.9032657750775318,0.9283764252449013,0.8739656269891789,0.8544474393530997,0.8287888395688016,0.8760385510136258,0.8946853602869254,12_16_22_28
0.9053716043512836,0.9316403850092156,0.8702481935281181,0.8746535263319988,0.8338962235185754,0.8510498687664042,0.8992248062015504,12_17_22_28
0.9067302585181451,0.9358111641853492,0.8829908675799086,0.8370044052863436,0.8419005279244235,0.8437781109445277,0.8978400467016929,16_17_22_28
0.909587792988841,0.9340222326600908,0.8818644521832306,0.8520420640743458,0.9066249347939489,0.8207750269106566,0.8970627150039693,8_9_12_16_17
0.9082450796794826,0.9311686654758867,0.8950361944157187,0.8667339727410399,0.8576158940397351,0.8481939883809043,0.9042145593869731,8_9_12_16_22
0.9117870850552117,0.9329530158323185,0.8718741943799948,0.8644198610753795,0.9002597402597402,0.8592207792207792,0.9079497907949791,8_9_12_16_28
0.9120249175263638,0.9350363783346807,0.9002544529262086,0.8826423049894588,0.8650292397660819,0.8350859194665299,0.9066265060240963,8_9_12_17_22
0.9115500969657749,0.933337688212431,0.8778761061946903,0.8728813559322034,0.9011156186612576,0.8385909568874869,0.9071902090770015,8_9_12_17_28
0.9107235779791227,0.931841572324956,0.8870333988212181,0.8919573643410853,0.8656785548865216,0.8555694618272841,0.9052787370498273,8_9_12_22_28
0.9115537868026022,0.9372496662216289,0.9048855322161907,0.8610244988864143,0.873320114562679,0.8283968030089328,0.8913910391742904,8_9_16_17_22
0.9102917881763524,0.9351650862561407,0.8877382913626736,0.853514739229025,0.9009139009139009,0.8243114909781576,0.8938117023838189,8_9_16_17_28
0.9152866448555896,0.935906391896612,0.8967698215495821,0.8870598994055784,0.8765994361309911,0.8644028644028644,0.89965075669383,8_9_16_22_28
0.9108552750236659,0.9353386114136033,0.9012069736253912,0.8657167530224525,0.8708630759247242,0.8346783490892322,0.9017713365539453,8_9_17_22_28
0.9076622966042266,0.9342182435561044,0.8955302829939169,0.8569261880687563,0.8563218390804598,0.8317631224764468,0.8902788636955955,8_12_16_17_22
0.9045443353826367,0.9318478058469368,0.8646379853095488,0.8402457757296466,0.8874066168623266,0.827359781121751,0.8912751677852349,8_12_16_17_28
0.9021281870300007,0.9276132624651987,0.8765182186234818,0.8455497382198953,0.8451392281387397,0.8559649574851842,0.8995141907440553,8_12_16_22_28
0.9026079897654676,0.9295349434737924,0.8721278721278721,0.8594319009468318,0.8507215519280814,0.8320292123109024,0.8995943204868154,8_12_17_22_28
0.9091341282401245,0.9360392909563058,0.8896567611149505,0.8569447654263924,0.8698752228163993,0.8308361527307878,0.8902496467263307,8_16_17_22_28
0.9076234093968926,0.9345922532797357,0.8850574712643678,0.8582854286428393,0.8567961165048543,0.8301314459049545,0.8973029045643154,9_12_16_17_22
0.9074070812935783,0.9327382449082223,0.8536209553158706,0.8554942298043151,0.8941363756964712,0.8327215521761929,0.9045226130653267,9_12_16_17_28
0.9061046900100188,0.9299859460840679,0.8723352119578535,0.8647686832740213,0.8487394957983193,0.8649735981895902,0.9033742331288344,9_12_16_22_28
0.9129037979726811,0.9371786996023149,0.8846534653465347,0.8816638775998088,0.8585178055822906,0.8524096385542169,0.9076690211907165,9_12_17_22_28
0.9105989761548995,0.9372542314925628,0.8894964684438369,0.8566907775768535,0.8578442311983933,0.8465608465608465,0.8965680473372781,9_16_17_22_28
0.9034467010747222,0.9317035432461706,0.8674145843957165,0.8426966292134831,0.8463438735177866,0.8421052631578947,0.8984758460346164,12_16_17_22_28
0.9071542334744285,0.9332577728548981,0.892933618843683,0.8516804185952908,0.8708971553610503,0.827807486631016,0.892948173322005,8_9_12_16_17_22
0.9089242218882332,0.9325340430479833,0.8619586089182846,0.8627125673994194,0.8951890034364262,0.8391332895600788,0.9058798190824898,8_9_12_16_17_28
0.9077381352149048,0.9304677623261695,0.8810012310217481,0.8751811219209273,0.8671189146049482,0.8478937538908488,0.901089689857502,8_9_12_16_22_28
0.9119487688601947,0.9347357209426175,0.8927915050030631,0.8776553894571204,0.8699059561128527,0.8434089000839631,0.9092402464065709,8_9_12_17_22_28
0.9078171727233729,0.9340135565615195,0.8864720473192139,0.8586446405106063,0.8712908011869436,0.8288811459543167,0.894726524210939,8_9_16_17_22_28
0.9052672609486543,0.9324642126789366,0.8837700760777684,0.8471083070452156,0.8584696143751261,0.8340203948795835,0.8951526799060431,8_12_16_17_22_28
0.9072465349177167,0.9333092634619352,0.8766045548654244,0.8654874537227478,0.8477198697068404,0.8487784330244313,0.8982188295165394,9_12_16_17_22_28
0.9084119914709656,0.9326338433171631,0.8806075591663723,0.868760907504363,0.8732734806629834,0.8342711925939372,0.902352102637206,8_9_12_16_17_22_28
